Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),impact_score,likelihood,risk_score,Risk Category
Japan,2018,SQL Injection,IT,0.6904211478540557,0.03281088779046668,Insider,Unpatched Software,AI-based Detection,0.9154929577464789,0.5381524318134636,0.0006666666666666666,0.0003587682878756424,Medium
China,2017,Phishing,Retail,0.4556236807719369,0.3951387644851789,Unknown,Unpatched Software,Encryption,0.4507042253521127,0.4364943148019446,0.0003333333333333333,0.00014549810493398154,Low
Germany,2019,DDoS,IT,0.14343150065333202,0.49175499469081113,Hacker Group,Zero-day,Encryption,0.9154929577464789,0.40234084028320516,0.0003333333333333333,0.00013411361342773506,Low
Australia,2016,Phishing,Healthcare,0.5358327470097498,0.27967066015085906,Hacker Group,Unpatched Software,AI-based Detection,0.9154929577464789,0.5349161630994284,0.001,0.0005349161630994284,Medium
France,2019,Malware,IT,0.7180621167956579,0.8815975804910074,Insider,Unpatched Software,Firewall,0.5915492957746479,0.7418201917000609,0.0003333333333333333,0.00024727339723335363,Low
UK,2023,DDoS,IT,0.6871042315810635,0.7498676455723566,Nation-state,Zero-day,AI-based Detection,0.47887323943661975,0.6642870573495626,0.001,0.0006642870573495627,High
UK,2022,Phishing,Government,0.9755754347170571,0.7225911243971493,Nation-state,Weak Passwords,Firewall,0.1267605633802817,0.7299171673537297,0.001,0.0007299171673537297,High
USA,2023,Ransomware,Government,0.8405869936677053,0.6959661172665234,Nation-state,Zero-day,AI-based Detection,0.28169014084507044,0.6854213601828237,0.0006666666666666666,0.0004569475734552158,Medium
USA,2020,SQL Injection,Government,0.4065735249773847,0.8039673302235464,Hacker Group,Social Engineering,Firewall,0.4507042253521127,0.5346178066261787,0.0003333333333333333,0.00017820593554205958,Low
Japan,2022,DDoS,IT,0.19760779977887227,0.174223462311764,Insider,Zero-day,AI-based Detection,0.8309859154929577,0.3172681216815569,0.0013333333333333333,0.0004230241622420758,Medium
Germany,2022,SQL Injection,Retail,0.11066438838074179,0.8579128932727923,Hacker Group,Zero-day,VPN,0.5070422535211268,0.41411451287643397,0.002,0.0008282290257528679,High
UK,2020,SQL Injection,Banking,0.4741180018092271,0.729416509626095,Unknown,Zero-day,Firewall,0.5774647887323944,0.5713769115389209,0.0006666666666666666,0.00038091794102594725,Medium
India,2023,Phishing,Retail,0.38586792642476636,0.8368402669706398,Hacker Group,Unpatched Software,AI-based Detection,0.6056338028169015,0.5651128038669555,0.002,0.001130225607733911,High
China,2016,Malware,Government,0.9165745301035281,0.8861181472181552,Insider,Unpatched Software,AI-based Detection,0.6338028169014085,0.8508832725974923,0.001,0.0008508832725974923,High
France,2015,Man-in-the-Middle,Education,0.17529399939692436,0.8090123107131527,Unknown,Social Engineering,Encryption,0.8309859154929577,0.49654787601099953,0.0006666666666666666,0.00033103191734066634,Medium
Russia,2018,Man-in-the-Middle,Telecommunications,0.3015378429992964,0.40110046826946466,Hacker Group,Unpatched Software,VPN,0.1267605633802817,0.29645117465654397,0.001,0.000296451174656544,Low
Japan,2021,Ransomware,Healthcare,0.7722384159211981,0.38084648787893655,Nation-state,Weak Passwords,Encryption,0.6056338028169015,0.6214999148876603,0.0003333333333333333,0.00020716663829588677,Low
USA,2021,Phishing,Healthcare,0.698864207458036,0.2482088367722133,Hacker Group,Social Engineering,Encryption,0.971830985915493,0.6182609519437806,0.0003333333333333333,0.0002060869839812602,Low
Australia,2024,SQL Injection,Retail,0.663282741984119,0.7092606066186221,Hacker Group,Weak Passwords,AI-based Detection,0.5070422535211268,0.6458280036818714,0.0013333333333333333,0.0008611040049091619,High
Japan,2018,Malware,Education,0.04854759272288673,0.6563438553018331,Hacker Group,Social Engineering,Firewall,0.9295774647887325,0.4070924459097398,0.001,0.0004070924459097398,Medium
India,2020,Ransomware,Healthcare,0.10011056387576642,0.032217419544020236,Unknown,Unpatched Software,Firewall,0.8732394366197184,0.23436839512503296,0.0003333333333333333,7.812279837501098e-05,Low
Australia,2017,Phishing,Healthcare,0.38998894361242337,0.29065132389455284,Unknown,Weak Passwords,Firewall,0.02816901408450704,0.28782367179147894,0.0006666666666666666,0.00019188244786098594,Low
India,2023,DDoS,Banking,0.23449592923911952,0.5574438231764862,Insider,Unpatched Software,VPN,0.5211267605633804,0.3887064636851817,0.002,0.0007774129273703634,High
Japan,2015,DDoS,Banking,0.5893054578349584,0.18215972402225358,Insider,Zero-day,Firewall,0.09859154929577466,0.36901895598331014,0.0006666666666666666,0.00024601263732220677,Low
Australia,2021,DDoS,Government,0.29892451502663586,0.29218953754512317,Insider,Social Engineering,Encryption,0.9859154929577465,0.4343022173684042,0.0006666666666666666,0.0002895348115789361,Low
France,2017,DDoS,Government,0.8676248869233089,0.09938241272363896,Nation-state,Unpatched Software,VPN,0.6056338028169015,0.5847539278421264,0.0003333333333333333,0.00019491797594737548,Low
USA,2015,DDoS,IT,0.662277615840788,0.3648698823371641,Insider,Weak Passwords,VPN,0.647887323943662,0.5701772374102757,0.001,0.0005701772374102757,High
Russia,2019,Ransomware,Telecommunications,0.6092069554729119,0.605480724291466,Nation-state,Zero-day,Encryption,0.4507042253521127,0.5763885400943183,0.0006666666666666666,0.0003842590267295455,Medium
USA,2022,Malware,Retail,0.07186651924816564,0.8646161821677304,Hacker Group,Unpatched Software,VPN,0.14084507042253522,0.323487128358909,0.0016666666666666668,0.0005391452139315151,High
USA,2016,Ransomware,Retail,0.0936777565584481,0.6110260995925786,Unknown,Unpatched Software,Antivirus,0.35211267605633806,0.30056924336826524,0.0006666666666666666,0.0002003794955788435,Low
China,2016,DDoS,IT,0.6712232385164338,0.41305189794748065,Hacker Group,Social Engineering,Firewall,0.36619718309859156,0.5327666252621794,0.0013333333333333333,0.0007103555003495725,High
USA,2017,Malware,Education,0.1270479445170369,0.682070153350994,Nation-state,Social Engineering,Antivirus,0.47887323943661975,0.3639196661511406,0.001,0.0003639196661511406,Medium
Australia,2016,Man-in-the-Middle,IT,0.8439039099406975,0.09381201768195106,Unknown,Weak Passwords,Firewall,0.19718309859154928,0.48953217999324394,0.0006666666666666666,0.0003263547866621626,Medium
France,2023,Man-in-the-Middle,Retail,0.08975776459945724,0.5650238037811833,Hacker Group,Unpatched Software,Firewall,1.0,0.4143860234340836,0.0013333333333333333,0.0005525146979121114,High
France,2017,Phishing,Retail,0.9065232686702182,0.2749779576085532,Nation-state,Zero-day,Encryption,0.26760563380281693,0.5892761483782385,0.0013333333333333333,0.0007857015311709847,High
Russia,2021,DDoS,Retail,0.3715951351894663,0.47671012428806336,Hacker Group,Unpatched Software,AI-based Detection,0.25352112676056343,0.3795148302332648,0.0006666666666666666,0.0002530098868221765,Low
USA,2024,SQL Injection,Banking,0.0673434516031762,0.31242950688092913,Hacker Group,Weak Passwords,Antivirus,0.323943661971831,0.19218931026023306,0.001,0.00019218931026023306,Low
Russia,2017,Phishing,Banking,0.9413006332294704,0.9635282237685534,Hacker Group,Weak Passwords,VPN,0.08450704225352114,0.7766101921960054,0.0006666666666666666,0.0005177401281306702,Medium
Australia,2015,Malware,Healthcare,0.4186350386973565,0.6809872989788944,Unknown,Zero-day,Antivirus,0.09859154929577466,0.4333320189015015,0.0003333333333333333,0.00014444400630050051,Low
France,2018,DDoS,Government,0.1528796864006433,0.9050600924129139,Hacker Group,Social Engineering,Antivirus,0.04225352112676056,0.3564085751495479,0.0006666666666666666,0.00023760571676636525,Low
USA,2022,SQL Injection,Government,0.9846215700070359,0.42936677038183135,Hacker Group,Weak Passwords,Antivirus,0.07042253521126761,0.6352053231603209,0.001,0.0006352053231603209,High
USA,2018,Ransomware,Healthcare,0.514725097999799,0.8583812628163622,Hacker Group,Social Engineering,Antivirus,0.47887323943661975,0.6106515757321321,0.001,0.0006106515757321321,High
China,2021,Malware,Education,0.41974067745502064,0.6159109537425028,Nation-state,Unpatched Software,Encryption,0.6056338028169015,0.5157703854136415,0.001,0.0005157703854136416,Medium
UK,2019,Phishing,Education,0.9945723188260128,0.4672936947251382,Nation-state,Zero-day,Firewall,0.6056338028169015,0.7586010283939282,0.0006666666666666666,0.0005057340189292854,Medium
France,2021,SQL Injection,Retail,0.6356417730425169,0.2351795566702128,Nation-state,Weak Passwords,Encryption,0.3802816901408451,0.46443109155049134,0.0006666666666666666,0.00030962072770032755,Medium
Australia,2017,SQL Injection,IT,0.045733239521559964,0.8238320034507227,Insider,Weak Passwords,Encryption,0.33802816901408456,0.3376218545988137,0.0006666666666666666,0.00022508123639920915,Low
China,2020,SQL Injection,IT,0.8933561161925823,0.9237938733660859,Nation-state,Unpatched Software,Firewall,0.9154929577464789,0.9069148116554127,0.0003333333333333333,0.0003023049372184709,Medium
USA,2024,Phishing,IT,0.5836767514323048,0.6308667538688025,Hacker Group,Social Engineering,AI-based Detection,0.8873239436619719,0.6585631906091876,0.001,0.0006585631906091875,High
France,2015,SQL Injection,Education,0.6566489094381345,0.6920250077310999,Unknown,Zero-day,VPN,0.7464788732394366,0.6852277316862845,0.001,0.0006852277316862845,High
UK,2019,Phishing,Government,0.7969645190471406,0.1333131841022567,Hacker Group,Weak Passwords,Firewall,0.09859154929577466,0.45819452461340227,0.001,0.0004581945246134023,Medium
Australia,2017,Phishing,Banking,0.9046135289978893,0.041887048881567565,Insider,Weak Passwords,AI-based Detection,0.619718309859155,0.588816541135246,0.0006666666666666666,0.00039254436075683065,Medium
Germany,2016,Phishing,IT,0.01608201829329581,0.17618601076249163,Unknown,Zero-day,VPN,0.11267605633802817,0.08343202364300102,0.0003333333333333333,2.7810674547667008e-05,Low
India,2015,SQL Injection,Telecommunications,0.6354407478138507,0.9168153673248194,Hacker Group,Social Engineering,Encryption,0.943661971830986,0.7814973784705683,0.0006666666666666666,0.0005209982523137122,Medium
Japan,2023,SQL Injection,Government,0.8774751231279526,0.5099803745154927,Hacker Group,Social Engineering,Firewall,0.8591549295774649,0.7635626598341171,0.0006666666666666666,0.0005090417732227447,Medium
UK,2015,Malware,IT,0.8237008744597448,0.4359139360955795,Nation-state,Unpatched Software,Encryption,0.7042253521126761,0.6834696884810815,0.001,0.0006834696884810815,High
India,2016,Ransomware,IT,0.6602673635541261,0.5376702218050041,Hacker Group,Unpatched Software,Encryption,0.7605633802816901,0.6435474243749023,0.0016666666666666668,0.0010725790406248372,High
Russia,2022,Malware,Banking,0.39320534727108253,0.8505861124427173,Hacker Group,Social Engineering,Firewall,0.6901408450704226,0.589806676382441,0.001,0.0005898066763824411,High
Japan,2021,DDoS,Government,0.35139209970851343,0.9378779857307417,Unknown,Zero-day,Firewall,0.1267605633802817,0.4824115582495356,0.0006666666666666666,0.00032160770549969036,Medium
France,2020,Malware,Government,0.10171876570509598,0.40516267334927264,Nation-state,Unpatched Software,AI-based Detection,0.056338028169014086,0.1836757904911326,0.0006666666666666666,0.0001224505269940884,Low
China,2022,DDoS,Government,0.8067142426374512,0.3461280950670079,Unknown,Zero-day,Encryption,0.8169014084507042,0.6705758315289688,0.0003333333333333333,0.00022352527717632294,Low
Brazil,2016,DDoS,Telecommunications,0.10001005126143331,0.8902063728281615,Nation-state,Zero-day,Encryption,0.8732394366197184,0.4917148248031088,0.0003333333333333333,0.00016390494160103627,Low
France,2018,SQL Injection,Healthcare,0.004523067644989447,0.3760787261149047,Unknown,Unpatched Software,Antivirus,0.6056338028169015,0.23621191222034643,0.0006666666666666666,0.00015747460814689762,Low
India,2018,Ransomware,IT,0.2677656045833752,0.22718825153045755,Unknown,Unpatched Software,Antivirus,0.16901408450704225,0.23584209465223333,0.0016666666666666668,0.0003930701577537222,Medium
Germany,2023,Ransomware,Healthcare,0.5456829832143935,0.3936656021601044,Nation-state,Weak Passwords,Encryption,0.5352112676056339,0.49798342577635485,0.0013333333333333333,0.0006639779010351398,High
Russia,2022,Ransomware,IT,0.407880188963715,0.5290183955140606,Insider,Unpatched Software,AI-based Detection,0.5774647887323944,0.47813857088255457,0.0003333333333333333,0.00015937952362751818,Low
Brazil,2024,Man-in-the-Middle,Education,0.08483264649713539,0.4512430307512628,Unknown,Weak Passwords,Encryption,0.18309859154929578,0.2144089507838057,0.0013333333333333333,0.00028587860104507427,Low
India,2017,Ransomware,Education,0.9811036285053775,0.6773083963247002,Unknown,Social Engineering,VPN,0.3802816901408451,0.7698006711782678,0.0006666666666666666,0.0005132004474521785,Medium
Russia,2024,Man-in-the-Middle,Healthcare,0.08945622675645794,0.48094346439340646,Nation-state,Unpatched Software,Encryption,0.8169014084507042,0.35239143438639176,0.0006666666666666666,0.00023492762292426117,Low
Australia,2015,Ransomware,Telecommunications,0.46125238717459044,0.6055898103603744,Nation-state,Unpatched Software,VPN,0.8450704225352113,0.5813172212024498,0.001,0.0005813172212024498,High
Brazil,2018,Ransomware,Banking,0.3026434817569605,0.9112549801793616,Nation-state,Social Engineering,Antivirus,0.4225352112676057,0.5092052771858099,0.0013333333333333333,0.0006789403695810798,High
China,2018,Ransomware,Banking,0.4370288471203136,0.3861887028865776,Nation-state,Weak Passwords,Antivirus,0.02816901408450704,0.34000483724303143,0.001,0.00034000483724303145,Medium
Australia,2017,Man-in-the-Middle,Banking,0.5415619660267365,0.10051030262877411,Unknown,Social Engineering,VPN,0.014084507042253521,0.30375097521045114,0.0013333333333333333,0.0004050013002806015,Medium
China,2023,Malware,Education,0.23359131571012165,0.31774870372724084,Insider,Social Engineering,Antivirus,0.23943661971830985,0.26000759291689507,0.0016666666666666668,0.00043334598819482514,Medium
USA,2018,DDoS,IT,0.8204844708010856,0.22036787024962698,Unknown,Weak Passwords,Firewall,0.8169014084507042,0.6397328781655718,0.001,0.0006397328781655718,High
India,2015,Ransomware,Telecommunications,0.24324052668609913,0.826168847220457,Hacker Group,Unpatched Software,VPN,0.7464788732394366,0.518766692157074,0.0003333333333333333,0.00017292223071902466,Low
China,2022,Malware,Education,0.6070961905719168,0.331071215188784,Unknown,Social Engineering,Antivirus,0.02816901408450704,0.408503262659495,0.0016666666666666668,0.0006808387710991584,High
China,2020,Man-in-the-Middle,Telecommunications,0.14182329882400244,0.8553058363048446,Hacker Group,Unpatched Software,Antivirus,0.8169014084507042,0.49088368199359544,0.0006666666666666666,0.0003272557879957303,Medium
Japan,2022,DDoS,Telecommunications,0.3398331490602071,0.3051457600046437,Unknown,Unpatched Software,Firewall,0.5492957746478874,0.37131945746107414,0.0006666666666666666,0.0002475463049740494,Low
Japan,2020,Phishing,Government,0.3205347271082521,0.4428484073934335,Nation-state,Social Engineering,Encryption,0.7887323943661972,0.45086836464539554,0.0006666666666666666,0.000300578909763597,Low
UK,2015,Ransomware,Banking,0.7920394009448186,0.8935580172756306,Unknown,Social Engineering,Firewall,0.19718309859154928,0.7035237253734083,0.0016666666666666668,0.001172539542289014,High
China,2020,Malware,Healthcare,0.30515629711528797,0.24029759480229904,Insider,Weak Passwords,Encryption,0.8873239436619719,0.4021322157307281,0.0013333333333333333,0.0005361762876409708,Medium
USA,2016,DDoS,Healthcare,0.9311488591818274,0.9482841962308262,Nation-state,Weak Passwords,Firewall,0.7605633802816901,0.9021723645164996,0.0016666666666666668,0.0015036206075274994,High
Brazil,2018,Malware,Healthcare,0.5263845612624385,0.4372039539196427,Insider,Zero-day,Antivirus,0.4084507042253521,0.47604360765218245,0.001,0.0004760436076521825,Medium
China,2019,Malware,Healthcare,0.2925922203236506,0.7615668762653734,Insider,Weak Passwords,Antivirus,0.08450704225352114,0.39166758149214154,0.0013333333333333333,0.0005222234419895221,Medium
France,2019,Phishing,Retail,0.25379435119107446,0.9988711093052419,Insider,Weak Passwords,AI-based Detection,0.19718309859154928,0.4659951281054197,0.001,0.00046599512810541975,Medium
India,2017,DDoS,Retail,0.820886521258418,0.5933731714322601,Hacker Group,Unpatched Software,AI-based Detection,0.8591549295774649,0.76028619797438,0.0006666666666666666,0.0005068574653162533,Medium
UK,2019,Phishing,Banking,0.5987536435822697,0.19732168681089382,Insider,Zero-day,Encryption,0.8591549295774649,0.5304043137498959,0.001,0.0005304043137498959,Medium
Japan,2017,Ransomware,Banking,0.5050758870238216,0.052728602867662594,Hacker Group,Social Engineering,Antivirus,0.19718309859154928,0.30779314409051944,0.0006666666666666666,0.00020519542939367963,Low
Australia,2017,Phishing,Retail,0.1445371394109961,0.06927165533606015,Hacker Group,Unpatched Software,Firewall,0.7464788732394366,0.24234584095420342,0.0003333333333333333,8.078194698473447e-05,Low
Germany,2022,DDoS,IT,0.7385666901196101,0.9540987839405292,Insider,Weak Passwords,Firewall,0.7464788732394366,0.804808754889851,0.001,0.0008048087548898511,High
Japan,2023,SQL Injection,Retail,0.4204442657553523,0.6436328262999507,Nation-state,Weak Passwords,VPN,0.26760563380281693,0.4568331075282248,0.001,0.00045683310752822484,Medium
Brazil,2022,Man-in-the-Middle,Education,0.7787717358528496,0.8995647565929519,Insider,Zero-day,Firewall,0.5352112676056339,0.7662975484254373,0.0006666666666666666,0.0005108650322836249,Medium
India,2016,Ransomware,Education,0.08091265453814454,0.8581400725172161,Unknown,Social Engineering,Firewall,0.6056338028169015,0.4190251095876174,0.0006666666666666666,0.0002793500730584116,Low
Russia,2016,Phishing,Government,0.3022414312996281,0.5037484575329936,Unknown,Zero-day,VPN,0.9859154929577465,0.49942835150126147,0.0006666666666666666,0.0003329522343341743,Medium
Japan,2015,SQL Injection,IT,0.3666700170871444,0.4528252791452457,Unknown,Weak Passwords,VPN,0.22535211267605634,0.36425301482235717,0.0006666666666666666,0.00024283534321490477,Low
Russia,2018,Ransomware,Healthcare,0.2368077193687808,0.32740031885157395,Unknown,Unpatched Software,AI-based Detection,0.07042253521126761,0.23070846238211612,0.001,0.00023070846238211612,Low
Australia,2018,Ransomware,Education,0.5041712734948236,0.8514517954666232,Insider,Zero-day,Firewall,0.02816901408450704,0.5131549782043001,0.0006666666666666666,0.0003421033188028667,Medium
UK,2017,Man-in-the-Middle,Government,0.7917378631018193,0.9236137312339436,Hacker Group,Unpatched Software,Firewall,0.3943661971830986,0.7518262903577124,0.001,0.0007518262903577124,High
Brazil,2023,Phishing,Banking,0.7172580158809931,0.1512853641523162,Nation-state,Zero-day,Antivirus,0.4084507042253521,0.48570475803126184,0.002,0.0009714095160625237,High
UK,2022,DDoS,Education,0.2061513719971857,0.4523649159186599,Nation-state,Unpatched Software,Firewall,0.09859154929577466,0.2585034706333458,0.0006666666666666666,0.0001723356470888972,Low
Japan,2015,Ransomware,Retail,0.9536636847924415,0.7697793559118145,Nation-state,Weak Passwords,VPN,0.9014084507042254,0.8880473393106101,0.0013333333333333333,0.0011840631190808133,High
Germany,2022,Phishing,Banking,0.1436325258819982,0.4070481609990283,Unknown,Weak Passwords,Antivirus,0.5070422535211268,0.2953391619449329,0.0013333333333333333,0.00039378554925991057,Medium
Brazil,2023,DDoS,IT,0.4570308573726003,0.31237746582053244,Nation-state,Social Engineering,AI-based Detection,0.9295774647887325,0.5081441613902065,0.0006666666666666666,0.0003387627742601376,Medium
Brazil,2019,Man-in-the-Middle,Government,0.7627902301738869,0.31172995493444333,Unknown,Weak Passwords,Encryption,0.943661971830986,0.6636464959334736,0.0006666666666666666,0.00044243099728898236,Medium
China,2018,Malware,Banking,0.6839883405367374,0.05960202599851284,Insider,Zero-day,Firewall,0.5633802816901409,0.47255083440595075,0.0003333333333333333,0.00015751694480198357,Low
Japan,2019,Malware,IT,0.09407980701578048,0.2333050777063103,Unknown,Zero-day,Antivirus,0.7605633802816901,0.26914410287612134,0.0013333333333333333,0.00035885880383482844,Medium
France,2020,Man-in-the-Middle,Retail,0.8980802090662379,0.7222268369743728,Hacker Group,Zero-day,VPN,0.4507042253521127,0.7558490006958533,0.0006666666666666666,0.0005038993337972354,Medium
Russia,2024,SQL Injection,Healthcare,0.7688209870338728,0.8733020353058564,Nation-state,Unpatched Software,Antivirus,0.4225352112676057,0.7309081463622144,0.0006666666666666666,0.0004872720975748095,Medium
India,2022,Malware,IT,0.11639360739772843,0.48216943168159687,Nation-state,Social Engineering,AI-based Detection,0.02816901408450704,0.20848143602024466,0.001,0.00020848143602024467,Low
India,2020,Phishing,Education,0.3942104734144135,0.5128306233618325,Hacker Group,Zero-day,Antivirus,0.19718309859154928,0.39039104343406633,0.0006666666666666666,0.00026026069562271086,Low
China,2023,Man-in-the-Middle,Telecommunications,0.37420846316212686,0.850080713683096,Hacker Group,Zero-day,AI-based Detection,0.7746478873239437,0.5970580231507809,0.001,0.0005970580231507809,High
Brazil,2022,Malware,Retail,0.7792742989245152,0.6608043746516001,Insider,Unpatched Software,Firewall,0.14084507042253522,0.6160474759422446,0.0013333333333333333,0.0008213966345896595,High
USA,2021,Ransomware,Education,0.06302140918685295,0.6980617707371116,Unknown,Social Engineering,AI-based Detection,0.2112676056338028,0.28318275694132056,0.001,0.00028318275694132054,Low
Russia,2019,Malware,IT,0.7178610915669917,0.5006259939091944,Nation-state,Zero-day,AI-based Detection,0.09859154929577466,0.5288366538154091,0.0013333333333333333,0.0007051155384205454,High
USA,2020,Ransomware,IT,0.9577847019800987,0.2391076559405371,Nation-state,Zero-day,VPN,0.8732394366197184,0.7252725350961541,0.0006666666666666666,0.000483515023397436,Medium
China,2023,Phishing,Retail,0.8999899487385669,0.14341715613619146,Unknown,Zero-day,AI-based Detection,0.7887323943661972,0.6507666000833803,0.001,0.0006507666000833803,High
USA,2020,Phishing,Retail,0.9964820584983416,0.46465961643736914,Insider,Weak Passwords,VPN,0.36619718309859156,0.7108783508000999,0.0006666666666666666,0.0004739189005333999,Medium
Russia,2018,SQL Injection,Education,0.007538446074982411,0.3509158726235,Nation-state,Weak Passwords,Firewall,0.7746478873239437,0.26397356228932994,0.0023333333333333335,0.0006159383120084366,High
Australia,2015,DDoS,Government,0.13528997889235103,0.4789789143634328,Nation-state,Zero-day,Antivirus,0.7464788732394366,0.3606344384030927,0.0016666666666666668,0.000601057397338488,High
Germany,2021,DDoS,Banking,0.011257412805307069,0.8232295280976691,Nation-state,Zero-day,Encryption,0.295774647887324,0.3117524944094191,0.0006666666666666666,0.00020783499627294606,Low
Russia,2021,DDoS,Education,0.18062116795657857,0.3948445323360132,Hacker Group,Weak Passwords,Antivirus,0.36619718309859156,0.28200338029881156,0.0013333333333333333,0.0003760045070650821,Medium
France,2019,Phishing,Telecommunications,0.2852547994773344,0.09629197436777619,Unknown,Social Engineering,Antivirus,0.8309859154929577,0.3377121751475916,0.0003333333333333333,0.0001125707250491972,Low
Russia,2024,DDoS,Education,0.19097396723288776,0.3254667932999137,Insider,Weak Passwords,Firewall,0.056338028169014086,0.2043946272402208,0.0013333333333333333,0.0002725261696536277,Low
France,2023,SQL Injection,Government,0.29279324555231684,0.6627659223127048,Hacker Group,Zero-day,VPN,0.4084507042253521,0.4269165403150403,0.0016666666666666668,0.0007115275671917339,High
USA,2024,Phishing,IT,0.5703085737260026,0.10734169259545782,Unknown,Zero-day,VPN,0.23943661971830985,0.36524411858530065,0.0016666666666666668,0.0006087401976421678,High
Russia,2017,Phishing,Banking,0.027138405869936683,0.9825942668765657,Insider,Zero-day,Encryption,0.07042253521126761,0.3224319900401915,0.0006666666666666666,0.00021495466002679434,Low
Japan,2022,SQL Injection,Government,0.7909337621871545,0.9507511426515521,Unknown,Social Engineering,Antivirus,0.7464788732394366,0.8299879985369303,0.0006666666666666666,0.0005533253323579535,High
Brazil,2017,Ransomware,Education,0.8041009146647905,0.2796046080357403,Insider,Social Engineering,Antivirus,0.8309859154929577,0.6521290228417089,0.0006666666666666666,0.0004347526818944726,Medium
India,2024,SQL Injection,Telecommunications,0.7106241833350087,0.18982477174490675,Unknown,Zero-day,AI-based Detection,0.19718309859154928,0.4516961429092862,0.001,0.00045169614290928626,Medium
Brazil,2019,Malware,Government,0.11599155694039602,0.7131736940446012,Nation-state,Social Engineering,AI-based Detection,0.8169014084507042,0.4353281683737192,0.0006666666666666666,0.0002902187789158128,Low
Australia,2016,Malware,Retail,0.2869635139209971,0.8175680612002871,Nation-state,Weak Passwords,Antivirus,0.943661971830986,0.5774845696867819,0.001,0.0005774845696867819,High
Germany,2023,Ransomware,Healthcare,0.2782189164740175,0.7073480976490452,Unknown,Weak Passwords,AI-based Detection,0.14084507042253522,0.37948290161622933,0.0013333333333333333,0.0005059772021549725,Medium
UK,2016,DDoS,Retail,0.389586893155091,0.6688837492781805,Hacker Group,Zero-day,Firewall,0.4507042253521127,0.4855994164314221,0.001,0.00048559941643142214,Medium
Russia,2015,DDoS,Telecommunications,0.5700070358830034,0.6092527003806003,Unknown,Social Engineering,VPN,0.04225352112676056,0.4762300322810339,0.0003333333333333333,0.00015874334409367796,Low
USA,2021,Man-in-the-Middle,Telecommunications,0.8380741783093779,0.9807167855437942,Nation-state,Unpatched Software,Firewall,0.02816901408450704,0.7188859276347286,0.0003333333333333333,0.0002396286425449095,Low
Russia,2022,Man-in-the-Middle,IT,0.840285455824706,0.9201600062449273,Nation-state,Unpatched Software,Encryption,0.647887323943662,0.8257681945745636,0.002,0.0016515363891491273,High
France,2017,DDoS,Healthcare,0.3918986832847523,0.19518900412425405,Hacker Group,Weak Passwords,Encryption,0.18309859154929578,0.29112576118951156,0.0006666666666666666,0.0001940838407930077,Low
Russia,2015,Man-in-the-Middle,Government,0.46497135390491506,0.7134809364588661,Unknown,Weak Passwords,Encryption,0.49295774647887325,0.545121507185892,0.0006666666666666666,0.000363414338123928,Medium
UK,2019,DDoS,Banking,0.8059101417227864,0.018597673564442346,Nation-state,Unpatched Software,VPN,0.3943661971830986,0.48740761236734564,0.0006666666666666666,0.0003249384082448971,Medium
China,2022,Ransomware,Government,0.8650115589506484,0.9634271440166292,Insider,Zero-day,VPN,0.5070422535211268,0.8229423733845384,0.0016666666666666668,0.0013715706223075641,High
UK,2017,Malware,Government,0.6608704392401247,0.7270366319025712,Hacker Group,Social Engineering,Firewall,0.16901408450704225,0.5823490260922422,0.001,0.0005823490260922422,High
Russia,2021,DDoS,IT,0.7866117197708313,0.13009164230577927,Unknown,Social Engineering,Encryption,0.9154929577464789,0.6154319441264452,0.0013333333333333333,0.0008205759255019269,High
Germany,2017,Malware,Banking,0.9767815860890543,0.9072057853646528,Hacker Group,Zero-day,AI-based Detection,0.19718309859154928,0.7999891483722328,0.001,0.0007999891483722328,High
China,2020,Ransomware,IT,0.1451402150969947,0.5572336573556537,Nation-state,Zero-day,Firewall,0.971830985915493,0.4341064019382921,0.001,0.0004341064019382921,Medium
Russia,2018,SQL Injection,Banking,0.5909136596642879,0.38041915070991017,Unknown,Weak Passwords,VPN,0.35211267605633806,0.4800051102563846,0.0006666666666666666,0.00032000340683758973,Medium
UK,2022,Malware,Retail,0.39250175897075085,0.337205054788228,Insider,Social Engineering,VPN,0.014084507042253521,0.3002292973302945,0.0003333333333333333,0.00010007643244343151,Low
China,2018,DDoS,IT,0.1360940798070158,0.803295800386505,Nation-state,Social Engineering,VPN,0.3098591549295775,0.37100761100537494,0.0013333333333333333,0.0004946768146738333,Medium
China,2024,Man-in-the-Middle,IT,0.6361443361141824,0.19558831918383607,Hacker Group,Zero-day,Encryption,0.0,0.37674866381224204,0.0006666666666666666,0.000251165775874828,Low
India,2019,Malware,Banking,0.36717258015881,0.3582296431884758,Insider,Weak Passwords,AI-based Detection,0.4084507042253521,0.37274532388101816,0.0006666666666666666,0.00024849688258734545,Low
Australia,2019,Phishing,Retail,0.08664187355513117,0.21201027610784912,Insider,Zero-day,Antivirus,0.18309859154929578,0.14354373791977948,0.001,0.00014354373791977947,Low
France,2021,Man-in-the-Middle,Healthcare,0.5180420142727913,0.7579179972998696,Nation-state,Zero-day,Antivirus,0.5915492957746479,0.604706265481286,0.001,0.000604706265481286,High
